01G-QSS4:Curr1,02G-QSS3:Curr1,05G-QSS3:Curr1,07G-QSS2:Curr1,08G-QSS2:Curr1,09G-QSS1:Curr1,10G-QSS4:Curr1,11G-QSS3:Curr1,12G-QSS3:Curr1,14G-QSS2:Curr1,16G-QSS2:Curr1,17G-QSS2:Curr1,18G-QSS1:Curr1,objective
-9.081451,-4.878099,1.290879,-2.911449,9.293972,5.556321,-7.014946,0.704449,3.739983,-4.735768,-4.589401,0.530717,4.842874,-0.716749
-9.185128,-6.4289,2.408905,-2.904484,10.932408,6.63629,-6.681945,2.402133,4.020935,-6.077268,-5.099075,-0.897274,3.697044,-0.676636
-9.068369,-0.412528,-2.629833,-3.960003,4.357375,2.131095,-7.702623,-4.014241,3.307305,-0.025614,-2.437422,4.684351,8.327249,-0.773868
-9.558903,-0.841155,-3.455593,-5.622222,4.456397,1.919219,-7.17176,-3.270221,3.993873,0.974523,-1.470976,4.357138,8.309775,-0.737131
-10.286502,-1.476931,-4.680428,-8.087761,4.603274,1.604947,-6.384341,-2.16663,5.012245,2.458009,-0.037465,3.871788,8.283856,-0.742438
-11.014102,-2.112706,-5.905263,-10.5533,4.750152,1.290675,-5.596922,-1.063039,6.030618,3.941495,1.396047,3.386438,8.257936,-0.704277
-11.741702,-2.748481,-7.130097,-13.018839,4.897029,0.976403,-4.809503,0.040551,7.048991,5.42498,2.829559,2.901088,8.232017,-0.664528
-8.462036,0.117285,-1.609138,-1.905388,4.234977,2.392988,-8.358806,-4.933899,2.458661,-1.261852,-3.632015,5.08881,8.348848,-0.758435
-7.971502,0.545913,-0.783378,-0.243168,4.135955,2.604865,-8.889669,-5.677919,1.772094,-2.26199,-4.598461,5.416023,8.366323,-0.880165
-7.243902,1.181688,0.441457,2.22237,3.989077,2.919137,-9.677088,-6.78151,0.753721,-3.745476,-6.031973,5.901373,8.392242,-0.747915
-8.492757,0.395355,-1.270731,-2.225277,4.095712,2.096606,-8.616333,-4.735312,3.522984,-0.512722,-4.284462,5.029007,7.793087,-0.774657
-8.423841,0.948936,-0.523486,-2.3409,3.84643,1.668288,-9.161397,-4.593916,5.079064,0.457537,-5.573856,5.011374,6.898071,-0.760369
-8.32162,1.770052,0.584888,-2.512402,3.476676,1.032971,-9.969881,-4.384185,7.387169,1.896703,-7.486389,4.985219,5.570511,-0.778008
-8.219398,2.591168,1.693262,-2.683903,3.106921,0.397653,-10.778365,-4.174454,9.695274,3.33587,-9.398923,4.959065,4.242951,-0.735378
-8.117176,3.412284,2.801636,-2.855405,2.737166,-0.237664,-11.586849,-3.964723,12.003379,4.775036,-11.311457,4.93291,2.915391,-0.686274
-8.577942,-0.288908,-2.194376,-2.082359,4.403841,2.626037,-7.942596,-4.910088,1.599563,-1.712027,-2.690684,5.050803,8.899387,-0.769236
-8.646858,-0.842489,-2.941621,-1.966736,4.653122,3.054356,-7.397532,-5.051485,0.043483,-2.682286,-1.40129,5.068436,9.794402,-0.733139
-8.74908,-1.663605,-4.049995,-1.795235,5.022877,3.689673,-6.589048,-5.261216,-2.264621,-4.121452,0.511244,5.094591,11.121962,-0.700441
-8.851302,-2.484721,-5.158369,-1.623733,5.392632,4.32499,-5.780564,-5.470947,-4.572726,-5.560618,2.423778,5.120746,12.449522,-0.645669
-7.608609,0.985521,-1.658696,-2.547885,3.932306,2.670059,-9.363446,-4.822608,4.875339,-0.005389,-5.402151,4.848912,6.953423,-0.754323
-6.256495,1.310122,-3.137248,-2.938226,3.951742,4.085608,-9.95169,-5.124849,5.291747,-0.289243,-5.742509,4.577587,6.613881,-0.785809
-4.250928,1.791598,-5.330357,-3.517213,3.98057,6.185266,-10.824223,-5.573158,5.909396,-0.710277,-6.247356,4.175137,6.110245,-0.684853
-9.279914,0.584291,0.168894,-2.065396,3.908283,0.920345,-8.636335,-4.449017,4.360631,0.345472,-4.981445,5.184287,7.37312,-0.795143
-10.632029,0.259689,1.647446,-1.675054,3.888847,-0.495204,-8.04809,-4.146776,3.944224,0.629325,-4.641087,5.455611,7.712662,-0.824377
-12.637595,-0.221787,3.840555,-1.096068,3.860019,-2.594862,-7.175558,-3.698467,3.326575,1.050359,-4.13624,5.858061,8.216298,-0.827104
-14.643161,-0.703263,6.033664,-0.517081,3.83119,-4.694519,-6.303025,-3.250158,2.708925,1.471394,-3.631393,6.260511,8.719934,-0.810416
-16.648728,-1.184739,8.226772,0.061905,3.802362,-6.794177,-5.430493,-2.801849,2.091276,1.892428,-3.126546,6.662961,9.22357,-0.77819
-18.654294,-1.666214,10.419881,0.640892,3.773534,-8.893834,-4.55796,-2.35354,1.473627,2.313462,-2.621699,7.065411,9.727206,-0.770161
-12.639554,-0.229875,3.511291,-1.164443,3.51006,-2.90924,-6.279921,-3.642305,3.924505,0.305513,-4.763041,5.824185,8.792188,-0.82815
-12.642724,-0.242963,2.978531,-1.275077,2.943814,-3.417916,-4.830751,-3.551433,4.891977,-0.899674,-5.777227,5.769373,9.723999,-0.807507
-12.647426,-0.262376,2.188297,-1.439178,2.103912,-4.172425,-2.681223,-3.416645,6.32701,-2.687305,-7.281549,5.688071,11.106136,-0.770369
-12.652128,-0.281789,1.398063,-1.603279,1.264011,-4.926934,-0.531695,-3.281857,7.762042,-4.474937,-8.785872,5.606769,12.488273,-0.739388
-12.635636,-0.213698,4.169819,-1.027692,4.209978,-2.280483,-8.071194,-3.754629,2.728644,1.795206,-3.509439,5.891937,7.640407,-0.832574
